System,Operation,MPI Processes,Max,Min,Mean,Std Dev
Lustre,Directory creation,1,32744.976,32744.976,32744.976,0.000
Lustre,Directory stat,1,294895.873,294895.873,294895.873,0.000
Lustre,Directory rename,1,56912.046,56912.046,56912.046,0.000
Lustre,Directory removal,1,59122.169,59122.169,59122.169,0.000
Lustre,File creation,1,37025.989,37025.989,37025.989,0.000
Lustre,File stat,1,416308.089,416308.089,416308.089,0.000
Lustre,File read,1,134355.308,134355.308,134355.308,0.000
Lustre,File removal,1,74134.436,74134.436,74134.436,0.000
Lustre,Tree creation,1,24385.488,24385.488,24385.488,0.000
Lustre,Tree removal,1,2343.187,2343.187,2343.187,0.000
Lustre,Directory creation,10,14104.531,14104.531,14104.531,0.000
Lustre,Directory stat,10,2815347.026,2815347.026,2815347.026,0.000
Lustre,Directory rename,10,1916.461,1916.461,1916.461,0.000
Lustre,Directory removal,10,70666.379,70666.379,70666.379,0.000
Lustre,File creation,10,72868.254,72868.254,72868.254,0.000
Lustre,File stat,10,4422505.272,4422505.272,4422505.272,0.000
Lustre,File read,10,1112340.945,1112340.945,1112340.945,0.000
Lustre,File removal,10,125090.710,125090.710,125090.710,0.000
Lustre,Tree creation,10,6898.526,6898.526,6898.526,0.000
Lustre,Tree removal,10,245.468,245.468,245.468,0.000
Lustre,Directory creation,20,3179.042,3179.042,3179.042,0.000
Lustre,Directory stat,20,170286.128,170286.128,170286.128,0.000
Lustre,Directory rename,20,1285.210,1285.210,1285.210,0.000
Lustre,Directory removal,20,6621.153,6621.153,6621.153,0.000
Lustre,File creation,20,1055.402,1055.402,1055.402,0.000
Lustre,File stat,20,6423818.786,6423818.786,6423818.786,0.000
Lustre,File read,20,9864.991,9864.991,9864.991,0.000
Lustre,File removal,20,5420.850,5420.850,5420.850,0.000
Lustre,Tree creation,20,1303.388,1303.388,1303.388,0.000
Lustre,Tree removal,20,7.430,7.430,7.430,0.000
CEPH,Directory creation,1,37694.494,37694.494,37694.494,0.000
CEPH,Directory stat,1,624617.126,624617.126,624617.126,0.000
CEPH,Directory rename,1,93897.423,93897.423,93897.423,0.000
CEPH,Directory removal,1,148323.927,148323.927,148323.927,0.000
CEPH,File creation,1,49197.739,49197.739,49197.739,0.000
